TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
msdb,dbo,syspolicy_target_sets_internal,target_set_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_target_sets,target_set_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_target_set_levels,target_set_id,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_target_set_levels,target_set_level_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_target_set_levels_internal,target_set_level_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_policy_category_subscriptions_internal,target_type,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_policy_target_conditions_internal,target_type,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_policies,target_type,6,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_policy_check_conditions,target_type,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_policy_target_conditions,target_type,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_policy_category_subscriptions,target_type,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_facet_events,target_type,3,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_computer_policies,target_type,7,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_instance_policies,target_type,8,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_dac_policies,target_type,8,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_health_policies_internal,target_type,5,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_policy_check_conditions_internal,target_type,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syspolicy_facet_events,target_type_alias,4,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,autoadmin_task_agent_metadata,task_agent_data,4,,YES,xml,-1,-1,,,,,,,,,,,,,
msdb,dbo,autoadmin_task_agent_metadata,task_agent_guid,1,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,autoadmin_task_agents,task_assembly_name,2,,NO,varchar,255,255,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,autoadmin_task_agents,task_assembly_path,3,,NO,varchar,-1,-1,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysmaintplan_logdetail,task_detail_id,1,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,sysmaintplan_log,task_detail_id,1,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,systaskids,task_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syscollector_execution_stats,task_name,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syscollector_execution_stats_internal,task_name,2,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,TcpEnabled,59,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,sysutility_ucp_instances,TcpEnabled,59,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,sysmail_query_transfer,text_data,2,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,log_shipping_primaries,threshold_alert,6,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,log_shipping_secondaries,threshold_alert,12,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,log_shipping_monitor_secondary,threshold_alert,7,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,log_shipping_monitor_primary,threshold_alert,5,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,log_shipping_monitor_primary,threshold_alert_enabled,6,,NO,bit,,,,,,,,,,,,,,,
msdb,dbo,log_shipping_monitor_secondary,threshold_alert_enabled,8,,NO,bit,,,,,,,,,,,,,,,
msdb,dbo,log_shipping_secondaries,threshold_alert_enabled,13,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,log_shipping_primaries,threshold_alert_enabled,7,,NO,bit,,,,,,,,,,,,,,,
msdb,dbo,sysutility_ucp_snapshot_partitions_internal,time_id,1,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,backupset,time_zone,19,,YES,smallint,,,5,10,0,,,,,,,,,,
